count_index,s2r_ns,r2a_ns,total_ns,werner
50,306988,1273,308261,0.788528
51,316502,1706,318208,0.782955
52,252103,1751,253854,0.821732
53,201640,1765,203405,0.853911
54,187171,1596,188767,0.863442
55,184631,1616,186247,0.865129
56,253103,3399,256502,0.821110
57,178416,1414,179830,0.869275
58,143373,1401,144774,0.893145
59,282079,1280,283359,0.803371
60,204191,1365,205556,0.852245
61,282406,1666,284072,0.803174
62,258609,1609,260218,0.817700
63,264994,1619,266613,0.813768
64,224869,1713,226582,0.838897
65,177471,1742,179213,0.869908
66,244365,1821,246186,0.826561
67,256308,1690,257998,0.819123
68,268964,1614,270578,0.811337
69,296312,1459,297771,0.794844
70,247186,1897,249083,0.824796
71,303550,1677,305227,0.790554
72,252020,1583,253603,0.821783
73,207803,1878,209681,0.849894
74,284184,1795,285979,0.802103
75,249089,1640,250729,0.823608
76,218482,1705,220187,0.842990
77,210921,1572,212493,0.847870
78,247285,1646,248931,0.824734
79,303944,1765,305709,0.790322
80,208667,1741,210408,0.849332
81,191377,1292,192669,0.860657
82,180856,1262,182118,0.867644
83,261552,1719,263271,0.815885
84,291180,1271,292451,0.797905
85,242384,1787,244171,0.827804
86,175371,1712,177083,0.871317
87,243565,1330,244895,0.827063
88,310245,1272,311517,0.786614
89,173574,1254,174828,0.872524
90,187248,1234,188482,0.863390
91,195380,1713,197093,0.858018
92,250635,1663,252298,0.822645
93,179051,1776,180827,0.868851
94,221085,1685,222770,0.841319
95,294192,1715,295907,0.796107
96,279691,1697,281388,0.804814
97,294092,1318,295410,0.796166
98,247049,1365,248414,0.824882
99,217157,1848,219005,0.843843
100,191942,1649,193591,0.860284
101,201780,1702,203482,0.853820
102,280070,1678,281748,0.804585
103,231321,1417,232738,0.834788
104,175613,1373,176986,0.871154
105,183918,1373,185291,0.865603
106,293687,1741,295428,0.796408
107,249862,1236,251098,0.823127
108,278503,1688,280191,0.805533
109,261404,1910,263314,0.815976
110,263020,1321,264341,0.814981
111,187086,1650,188736,0.863498
112,268306,1574,269880,0.811739
113,280824,1632,282456,0.804129
114,230561,1707,232268,0.835270
115,319600,1723,321323,0.781152
116,280191,1918,282109,0.804512
117,190479,1747,192226,0.861250
118,207650,1606,209256,0.849993
119,230218,1366,231584,0.835488
120,355821,2509,358330,0.760478
121,350643,1330,351973,0.763388
122,259171,1364,260535,0.817353
123,275682,1666,277348,0.807243
124,404693,1644,406337,0.733745
125,213407,1705,215112,0.846262
126,249922,1222,251144,0.823089
127,247096,1246,248342,0.824853
128,160174,1737,161911,0.881596
129,291432,3975,295407,0.797754
130,280824,1282,282106,0.804129
131,227391,1315,228706,0.837287
132,290240,1314,291554,0.798467
133,275867,1676,277543,0.807131
134,179539,1631,181170,0.868524
135,367664,1663,369327,0.753880
136,266910,1704,268614,0.812594
137,381205,1587,382792,0.746430
138,441442,1467,442909,0.714487
139,368762,1381,370143,0.753272
140,250314,1400,251714,0.822845
141,184714,1429,186143,0.865074
142,275665,1312,276977,0.807254
143,238969,1263,240232,0.829951
144,264836,1327,266163,0.813865
