count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784028917931046015,393655,180180,0.868096
51,1784028917931452157,356132,174014,0.872228
52,1784028917931819483,384113,217760,0.843455
53,1784028917932217775,355366,183480,0.865895
54,1784028917932584182,393454,200588,0.854600
55,1784028917932988720,374642,183081,0.866161
56,1784028917933375115,333022,156542,0.884076
57,1784028917933719729,390101,227774,0.837043
58,1784028917934121186,317234,145627,0.891584
59,1784028917934452015,439779,178095,0.869490
60,1784028917934904877,407516,185343,0.864655
61,1784028917935325554,450951,159422,0.882109
62,1784028917935787847,380747,164762,0.878476
64,1784028917936186455,370699,165006,0.878311
65,1784028917936565111,382545,181094,0.867486
66,1784028917936959208,558637,257921,0.818125
67,1784028917937543758,477655,196784,0.857094
68,1784028917938033945,541964,325515,0.777724
69,1784028917938589073,426787,208559,0.849403
70,1784028917939029382,485408,245527,0.825834
72,1784028917939532128,510129,222467,0.840433
73,1784028917940050369,605785,314923,0.783876
74,1784028917940668481,457905,267314,0.812346
76,1784028917941144693,361575,213918,0.845932
79,1784028917941519887,366753,208620,0.849363
80,1784028917941896273,462347,257438,0.818424
83,1784028917942378404,511541,209909,0.848526
84,1784028917942910449,413432,180809,0.867676
85,1784028917943335865,400683,225993,0.838179
86,1784028917943747588,382467,194294,0.858733
87,1784028917944142856,605638,297633,0.794059
88,1784028917944760810,610135,390815,0.741204
89,1784028917945383987,365955,180110,0.868143
91,1784028917945769045,465842,208187,0.849644
92,1784028917946244011,559777,253095,0.821115
93,1784028917946816289,498014,191115,0.860830
94,1784028917947325545,387176,166538,0.877273
95,1784028917947739371,387580,153995,0.885821
96,1784028917948140519,365536,171508,0.873915
97,1784028917948517456,612077,306978,0.788533
98,1784028917949139884,472034,204734,0.851891
99,1784028917949623231,367865,192814,0.859708
100,1784028917950003266,623223,399352,0.736604
101,1784028917950638466,675827,449714,0.710248
103,1784028917951332063,524786,288417,0.799559
105,1784028917951869639,662488,437822,0.716353
106,1784028917952541082,502933,296875,0.794510
107,1784028917953056886,527286,326680,0.777052
108,1784028917953596772,612507,398293,0.737172
110,1784028917954227597,456054,288634,0.799429
111,1784028917954692765,504064,308470,0.787656
112,1784028917955209048,447892,306893,0.788583
113,1784028917955667950,507014,258504,0.817765
114,1784028917956201896,524387,297820,0.793948
115,1784028917956741306,462973,281525,0.803706
116,1784028917957217692,359077,155392,0.884864
117,1784028917957588978,575363,302599,0.791116
118,1784028917958176821,580362,290340,0.798407
119,1784028917958770324,440468,205156,0.851616
120,1784028917959224492,418113,249107,0.823597
121,1784028917959654609,429171,190961,0.860932
122,1784028917960095957,366451,212423,0.846898
