count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784541802855140355,193214,105119,0.920174
51,1784541802855339878,168437,103743,0.921166
52,1784541802855514294,169824,99849,0.923979
53,1784541802855688222,152744,85144,0.934704
54,1784541802855845436,148287,87421,0.933033
55,1784541802855998082,267351,148821,0.889379
56,1784541802856270681,278499,111444,0.915633
57,1784541802856563211,226918,107961,0.918130
58,1784541802856796127,261958,153932,0.885864
59,1784541802857062745,223933,122567,0.907717
60,1784541802857292540,171367,87713,0.932819
61,1784541802857469247,177581,96639,0.926307
62,1784541802857651485,167442,94232,0.928057
63,1784541802857823431,218135,84255,0.935357
64,1784541802858046474,201214,118054,0.910918
65,1784541802858253087,360475,184254,0.865380
66,1784541802858618409,259171,193314,0.859379
67,1784541802858883399,173397,92322,0.929449
68,1784541802859062273,140092,81094,0.937686
69,1784541802859206558,235315,137164,0.897462
70,1784541802859446144,180236,91942,0.929726
71,1784541802859631173,195266,128067,0.903836
72,1784541802859831391,195193,120930,0.908877
73,1784541802860031448,308305,106881,0.918906
74,1784541802860343677,139289,79851,0.938603
75,1784541802860487642,144854,72961,0.943710
76,1784541802860636509,172415,116086,0.912319
77,1784541802860813565,150204,73996,0.942940
78,1784541802860968865,122084,66309,0.948673
79,1784541802861094538,241852,177297,0.870025
80,1784541802861340389,213326,162458,0.880041
81,1784541802861557538,146189,76692,0.940940
82,1784541802861708669,194558,129344,0.902937
83,1784541802861909098,189075,124718,0.906197
84,1784541802862102641,136902,64171,0.950276
85,1784541802862243545,148097,73497,0.943311
86,1784541802862396206,125290,74645,0.942458
87,1784541802862525672,147694,76361,0.941185
88,1784541802862678538,141728,80511,0.938116
89,1784541802862824864,262910,65642,0.949173
90,1784541802863091980,235212,168718,0.875798
91,1784541802863332286,348182,132798,0.900514
92,1784541802863690242,362503,148456,0.889630
93,1784541802864059555,285853,165919,0.877692
94,1784541802864351851,326975,199950,0.855017
95,1784541802864684761,185829,98126,0.925228
96,1784541802864876720,162099,91119,0.930327
97,1784541802865044073,199435,101235,0.922977
98,1784541802865248417,201432,82094,0.936948
99,1784541802865454744,226608,121767,0.908284
100,1784541802865690056,265218,175599,0.871163
101,1784541802865960513,268049,161033,0.881011
102,1784541802866234070,258478,149004,0.889253
103,1784541802866506467,211257,123491,0.907064
104,1784541802866722885,198165,123276,0.907216
105,1784541802866925436,201850,80522,0.938108
106,1784541802867132653,199408,103511,0.921333
107,1784541802867337520,165629,92338,0.929438
108,1784541802867508404,183650,91985,0.929695
109,1784541802867697055,179105,101488,0.922794
110,1784541802867881482,229906,128870,0.903271
111,1784541802868116019,152962,78631,0.939505
112,1784541802868273782,172624,104497,0.920622
113,1784541802868451390,204917,105945,0.919579
114,1784541802868661212,189051,109586,0.916964
115,1784541802868856365,182513,118182,0.910827
116,1784541802869043442,230338,122855,0.907514
117,1784541802869277664,202600,128229,0.903722
118,1784541802869484800,165462,75786,0.941612
119,1784541802869654589,204968,107631,0.918367
120,1784541802869863789,152984,84347,0.935290
121,1784541802870020446,160216,83543,0.935881
122,1784541802870186810,184252,86824,0.933471
123,1784541802870376903,245297,150577,0.888169
124,1784541802870627877,255196,140721,0.894985
125,1784541802870888138,208143,114950,0.913129
126,1784541802871102200,252121,110395,0.916384
127,1784541802871362569,193744,86168,0.933952
128,1784541802871564745,153743,91084,0.930353
129,1784541802871723020,185320,108911,0.917448
130,1784541802871913155,177022,92551,0.929282
131,1784541802872094838,172109,87326,0.933103
132,1784541802872271058,170667,95042,0.927468
133,1784541802872447753,204160,119146,0.910143
134,1784541802872657515,150346,77246,0.940530
135,1784541802872812238,242300,132401,0.900792
136,1784541802873060110,167532,87600,0.932902
137,1784541802873232906,148622,76119,0.941365
138,1784541802873385764,145861,93269,0.928759
139,1784541802873535981,254897,133915,0.899732
140,1784541802873795971,191592,116370,0.912117
141,1784541802873992655,187582,119010,0.910239
142,1784541802874184886,186737,80032,0.938469
143,1784541802874377659,160179,91356,0.930154
144,1784541802874542504,170853,92284,0.929477
145,1784541802874717022,185361,88610,0.932162
146,1784541802874907441,167158,110796,0.916097
147,1784541802875080522,163962,96000,0.926771
148,1784541802875250089,165455,107670,0.918339
149,1784541802875420565,172463,100327,0.923633
150,1784541802875598830,159413,87013,0.933332
151,1784541802875763409,210677,101736,0.922614
152,1784541802875978869,159098,85165,0.934689
153,1784541802876141437,141154,84207,0.935393
154,1784541802876287737,248724,167485,0.876631
155,1784541802876541576,168144,106386,0.919262
156,1784541802876713737,191625,114664,0.913333
157,1784541802876909901,147329,83422,0.935970
158,1784541802877062578,153609,94590,0.927797
159,1784541802877222224,245318,128378,0.903617
160,1784541802877473578,267715,140477,0.895155
161,1784541802877749619,217309,133486,0.900032
162,1784541802877972109,236989,130479,0.902140
163,1784541802878215086,225872,99584,0.924171
164,1784541802878446257,163943,97309,0.925820
165,1784541802878615403,252520,167727,0.876468
166,1784541802878878936,169666,87393,0.933054
167,1784541802879053807,155949,88603,0.932167
168,1784541802879214634,205122,145325,0.891793
169,1784541802879425036,167934,87214,0.933185
170,1784541802879598392,157252,82135,0.936918
171,1784541802879760015,220453,127531,0.904213
172,1784541802879985504,166088,92566,0.929271
173,1784541802880156344,186907,116250,0.912202
174,1784541802880347750,172705,112015,0.915225
175,1784541802880524408,167196,109959,0.916697
176,1784541802880696459,310814,117904,0.911025
177,1784541802881011480,204911,118546,0.910569
178,1784541802881221127,208797,116820,0.911796
179,1784541802881436713,167935,88969,0.931899
180,1784541802881609164,148177,72121,0.944335
181,1784541802881762712,165317,83892,0.935624
182,1784541802881932273,145251,69773,0.946084
183,1784541802882082697,130770,81724,0.937221
184,1784541802882217963,161153,76630,0.940986
185,1784541802882384037,181078,92416,0.929381
186,1784541802882569706,155745,86481,0.933722
187,1784541802882729078,156564,91570,0.929998
188,1784541802882889739,158996,83554,0.935873
189,1784541802883053315,150102,75406,0.941894
190,1784541802883208488,137932,71764,0.944600
191,1784541802883350308,194411,124599,0.906281
192,1784541802883547890,172932,102839,0.921818
193,1784541802883724082,224827,80414,0.938187
194,1784541802883953982,162556,89107,0.931798
195,1784541802884121685,172969,76244,0.941272
196,1784541802884299535,251910,161569,0.880646
197,1784541802884555950,256676,104363,0.920719
198,1784541802884817413,251758,160302,0.881509
199,1784541802885079384,214293,131919,0.901130
200,1784541802885298942,176735,84930,0.934861
201,1784541802885480933,190533,106801,0.918964
202,1784541802885676506,234943,105245,0.920083
203,1784541802885916627,209715,123260,0.907227
204,1784541802886131785,308977,155463,0.884815
205,1784541802886446076,248600,158056,0.883042
206,1784541802886699743,222296,127013,0.904578
207,1784541802886927441,187925,92565,0.929272
208,1784541802887120043,218344,124081,0.906647
209,1784541802887342690,138778,80613,0.938041
210,1784541802887485989,245660,152308,0.886979
211,1784541802887735553,207227,134802,0.899111
212,1784541802887947585,181267,87807,0.932750
213,1784541802888133575,157104,94308,0.928002
214,1784541802888295245,190123,118225,0.910797
215,1784541802888491216,161664,77726,0.940174
216,1784541802888658423,183974,109335,0.917144
217,1784541802888847123,202520,120681,0.909053
218,1784541802889058303,173497,103721,0.921181
219,1784541802889236954,139153,67321,0.947916
220,1784541802889380769,179139,76984,0.940724
221,1784541802889565498,214021,86451,0.933744
222,1784541802889783854,183450,100907,0.923214
223,1784541802889974293,146008,84721,0.935015
224,1784541802890124723,134556,74279,0.942730
225,1784541802890263363,201828,136309,0.898058
226,1784541802890469937,138808,79326,0.938991
227,1784541802890613072,156669,73419,0.943369
228,1784541802890774246,255639,89214,0.931720
229,1784541802891034476,140436,80070,0.938441
230,1784541802891179282,157858,91754,0.929864
231,1784541802891341347,207023,108922,0.917440
232,1784541802891552828,188908,109394,0.917102
233,1784541802891746353,201589,101627,0.922693
234,1784541802891952991,212382,110884,0.916034
235,1784541802892170610,167627,93861,0.928327
236,1784541802892343406,156280,81456,0.937419
237,1784541802892505255,188621,109427,0.917078
238,1784541802892699212,253530,184242,0.865388
239,1784541802892957399,137490,80261,0.938300
240,1784541802893099648,163141,95105,0.927422
241,1784541802893267906,168552,107391,0.918540
242,1784541802893440770,142742,75163,0.942074
243,1784541802893587457,140030,79482,0.938876
244,1784541802893731856,129112,66984,0.948168
245,1784541802893865077,202688,122297,0.907908
246,1784541802894071152,144564,82506,0.936645
247,1784541802894219881,222562,141952,0.894130
248,1784541802894447041,207084,130192,0.902341
249,1784541802894658832,158109,92590,0.929254
250,1784541802894820664,265097,128054,0.903845
251,1784541802895091986,152750,79673,0.938735
252,1784541802895248693,149073,87087,0.933278
253,1784541802895402108,132101,65065,0.949605
254,1784541802895537776,149871,77241,0.940533
255,1784541802895691983,149598,70496,0.945545
256,1784541802895845475,144473,71120,0.945080
257,1784541802895994397,250949,83655,0.935799
258,1784541802896249560,177975,75333,0.941948
259,1784541802896430948,136593,73816,0.943074
260,1784541802896571155,167073,97548,0.925647
261,1784541802896743716,260786,183976,0.865565
262,1784541802897009951,156429,89869,0.931241
263,1784541802897171899,140412,77978,0.939988
264,1784541802897317503,142429,79280,0.939025
265,1784541802897464781,156039,83713,0.935756
266,1784541802897625686,145867,82272,0.936817
267,1784541802897775932,153681,72304,0.944198
268,1784541802897939878,151807,84376,0.935268
269,1784541802898097074,296101,160067,0.881669
270,1784541802898400914,262467,188562,0.862519
271,1784541802898670297,256717,177015,0.870214
272,1784541802898932134,216875,109578,0.916970
273,1784541802899153784,176136,98962,0.924622
274,1784541802899335467,155124,95799,0.926917
275,1784541802899495776,175246,90466,0.930804
276,1784541802899675684,234773,159401,0.882124
277,1784541802899915254,146270,78986,0.939242
278,1784541802900066426,149372,81460,0.937416
279,1784541802900220475,183698,84575,0.935122
280,1784541802900407722,240432,173419,0.872628
281,1784541802900652673,159576,89760,0.931320
282,1784541802900815192,141494,77410,0.940408
283,1784541802900964409,164216,88294,0.932393
284,1784541802901134207,140696,73728,0.943139
285,1784541802901280491,166498,95210,0.927346
286,1784541802901452228,161503,89224,0.931713
287,1784541802901619140,138052,78379,0.939691
