count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
52,175328,1555,176883,0.871345,0
54,155305,4074,159379,0.884923,2
55,214352,1698,216050,0.845651,1
56,218218,1602,219820,0.843160,1
57,195462,1484,196946,0.857964,1
58,192571,2074,194645,0.859869,1
59,268097,1829,269926,0.811867,1
60,254740,1646,256386,0.820094,1
61,247997,1656,249653,0.824290,1
62,227597,1362,228959,0.837156,1
63,157459,1969,159428,0.883449,1
64,204695,2464,207159,0.851917,1
65,189573,1332,190905,0.861850,1
66,175055,1322,176377,0.871529,1
67,149353,1480,150833,0.889012,1
68,168926,1415,170341,0.875657,1
69,191979,2109,194088,0.860259,1
73,399974,2112,402086,0.736270,4
74,182899,1605,184504,0.866282,1
76,293301,1169,294470,0.796638,2
78,217290,1498,218788,0.843757,2
79,343999,1220,345219,0.767144,1
80,258696,960,259656,0.817646,1
81,142937,1031,143968,0.893447,1
82,166737,1349,168086,0.877138,1
83,121656,1041,122697,0.908362,1
84,184805,1112,185917,0.865013,1
85,228041,1711,229752,0.836873,1
86,362038,1383,363421,0.757005,1
87,184156,1085,185241,0.865445,1
88,276208,2035,278243,0.806924,1
89,245595,1628,247223,0.825791,1
90,222989,1640,224629,0.840099,1
92,374724,2010,376734,0.749983,2
93,215435,1802,217237,0.844953,1
95,237731,1381,239112,0.830732,2
96,189719,1799,191518,0.861753,1
98,343045,1662,344707,0.767685,2
100,205858,2166,208024,0.851159,2
101,201472,2124,203596,0.854021,1
102,222969,2329,225298,0.840112,1
104,191305,1736,193041,0.860705,2
105,346328,1658,347986,0.765824,1
106,269876,1794,271670,0.810779,1
107,156690,1542,158232,0.883975,1
109,254849,1032,255881,0.820027,2
111,218623,945,219568,0.842900,2
112,221612,8361,229973,0.840981,1
113,220895,2080,222975,0.841441,1
114,219447,2143,221590,0.842370,1
115,229844,1639,231483,0.835726,1
117,275899,1914,277813,0.807112,2
121,198531,1592,200123,0.855947,4
122,181601,1887,183488,0.867147,1
123,284702,1932,286634,0.801791,1
124,216088,1613,217701,0.844532,1
125,268991,1498,270489,0.811320,1
127,186410,1576,187986,0.863947,2
128,263327,1581,264908,0.814792,1
129,179162,1666,180828,0.868776,1
131,160561,1587,162148,0.881333,2
132,159094,3424,162518,0.882333,1
134,234032,2111,236143,0.833069,2
135,209265,2279,211544,0.848944,1
136,276146,1890,278036,0.806962,1
137,299305,1616,300921,0.793067,1
139,312350,1895,314245,0.785380,2
140,178152,2083,180235,0.869452,1
142,238604,2409,241013,0.830181,2
143,317370,1609,318979,0.782449,1
145,271456,1704,273160,0.809815,2
146,405187,1622,406809,0.733482,1
150,238065,4689,242754,0.830521,4
151,162168,1411,163579,0.880239,1
152,370699,1708,372407,0.752201,1
153,171411,1660,173071,0.873980,1
154,672796,1629,674425,0.608224,1
155,201844,2180,204024,0.853778,1
156,301719,1961,303680,0.791637,1
157,291584,2826,294410,0.797663,1
158,239797,2287,242084,0.829430,1
160,270960,3820,274780,0.810118,2
161,386274,2099,388373,0.743667,1
162,220960,1868,222828,0.841399,1
164,151873,1314,153187,0.887278,2
166,143423,1436,144859,0.893110,2
167,119527,1530,121057,0.909872,1
168,139963,1408,141371,0.895512,1
169,129223,1421,130644,0.903022,1
170,127021,1312,128333,0.904572,1
171,144748,1165,145913,0.892192,1
174,222735,1673,224408,0.840262,3
176,189341,1659,191000,0.862003,2
177,203992,1618,205610,0.852375,1
178,185451,2016,187467,0.864584,1
179,303544,1670,305214,0.790558,1
180,231786,1717,233503,0.834493,1
181,256960,1844,258804,0.818719,1
183,203346,1972,205318,0.852797,2
184,291871,1630,293501,0.797492,1
185,235346,1748,237094,0.832238,1
186,216668,1725,218393,0.844158,1
187,289174,1617,290791,0.799106,1
188,293801,1406,295207,0.796340,1
189,350622,1879,352501,0.763400,1
190,301961,1636,303597,0.791494,1
191,189369,1690,191059,0.861985,1
192,172553,1427,173980,0.873211,1
193,188956,1348,190304,0.862258,1
194,247370,1688,249058,0.824681,1
195,198283,1493,199776,0.856110,1
196,314937,1614,316551,0.783868,1
197,194547,1767,196314,0.858566,1
198,222945,1574,224519,0.840127,1
199,303378,1706,305084,0.790656,1
200,212798,1630,214428,0.846656,1
201,314187,2366,316553,0.784306,1
202,215136,4985,220121,0.845145,1
204,210662,1862,212524,0.848038,2
205,196425,1505,197930,0.857330,1
206,169174,1579,170753,0.875490,1
208,223348,1446,224794,0.839869,2
209,146546,1301,147847,0.890949,1
210,190442,1478,191920,0.861275,1
211,157401,1429,158830,0.883489,1
213,212720,1387,214107,0.846706,2
214,141799,1194,142993,0.894237,1
215,212373,2731,215104,0.846930,1
216,183869,1203,185072,0.865636,1
217,346109,1762,347871,0.765948,1
218,649241,2259,651500,0.617954,1
219,601863,2501,604364,0.638232,1
220,557002,2215,559217,0.658339,1
221,598851,1614,600465,0.639554,1
222,427567,2021,429588,0.721675,1
223,500332,2245,502577,0.685063,1
224,289378,1779,291157,0.798983,1
225,235009,1650,236659,0.832451,1
226,391991,2195,394186,0.740568,1
227,429515,1612,431127,0.720660,1
229,239622,2909,242531,0.829540,2
230,373322,9219,382541,0.750755,1
231,197434,1551,198985,0.856667,1
232,312711,1630,314341,0.785169,1
233,262293,1611,263904,0.815428,1
234,477439,1661,479100,0.696296,1
235,398664,1560,400224,0.736973,1
236,420976,1577,422553,0.725125,1
