count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
50,161194,1450,162644,0.880902,0
51,168716,1502,170218,0.875799,1
53,194861,1462,196323,0.858359,2
54,177841,1443,179284,0.869660,1
57,208014,1271,209285,0.849757,3
58,191767,1446,193213,0.860399,1
59,145083,1244,146327,0.891960,1
60,152879,1512,154391,0.886587,1
61,144610,1486,146096,0.892288,1
62,156484,1440,157924,0.884116,1
64,173245,1560,174805,0.872745,2
65,169223,1404,170627,0.875456,1
67,188040,1399,189439,0.862865,2
68,202491,1310,203801,0.853355,1
69,156358,1247,157605,0.884202,1
71,169496,794,170290,0.875272,2
72,170152,736,170888,0.874829,1
73,209394,1828,211222,0.848860,1
74,243500,1459,244959,0.827104,1
75,299961,1450,301411,0.792678,1
76,151409,1049,152458,0.887597,1
78,171335,1014,172349,0.874031,2
79,171705,746,172451,0.873782,1
82,105166,929,106095,0.920140,3
83,103652,891,104543,0.921231,1
84,142337,1783,144120,0.893863,1
86,137881,1245,139126,0.896962,2
88,160840,1528,162368,0.881143,2
89,141876,1146,143022,0.894183,1
90,117435,1014,118449,0.911359,1
91,109219,915,110134,0.917227,1
92,105756,934,106690,0.919715,1
93,107106,836,107942,0.918744,1
94,105314,922,106236,0.920033,1
95,132637,916,133553,0.900626,1
96,242830,859,243689,0.827524,1
97,114537,990,115527,0.913423,1
98,140955,2078,143033,0.894823,1
99,209171,1645,210816,0.849005,1
101,216367,1466,217833,0.844352,2
103,156497,1151,157648,0.884107,2
104,123105,1249,124354,0.907337,1
105,105929,1038,106967,0.919591,1
106,132294,1937,134231,0.900867,1
107,325587,1434,327021,0.777683,1
108,133957,1332,135289,0.899702,1
109,114251,962,115213,0.913627,1
110,109283,899,110182,0.917181,1
111,105290,968,106258,0.920051,1
113,127194,1061,128255,0.904450,2
114,112029,915,112944,0.915215,1
115,107745,920,108665,0.918285,1
116,104909,828,105737,0.920325,1
117,107935,950,108885,0.918149,1
118,106569,810,107379,0.919130,1
119,104962,844,105806,0.920287,1
120,103152,937,104089,0.921592,1
121,100818,888,101706,0.923278,1
122,102408,860,103268,0.922129,1
123,101463,929,102392,0.922812,1
124,99544,905,100449,0.924200,1
125,105990,937,106927,0.919547,1
126,103267,951,104218,0.921509,1
127,101565,893,102458,0.922738,1
128,101822,879,102701,0.922552,1
129,101011,894,101905,0.923138,1
130,100244,847,101091,0.923693,1
131,233065,952,234017,0.833682,1
132,111039,987,112026,0.915923,1
133,103788,948,104736,0.921133,1
134,126587,767,127354,0.904878,1
135,105927,708,106635,0.919592,1
136,104509,743,105252,0.920613,1
137,116616,1303,117919,0.911941,1
139,141241,1231,142472,0.894624,2
140,121054,936,121990,0.908789,1
141,128662,982,129644,0.903417,1
142,125030,973,126003,0.905976,1
143,116267,826,117093,0.912190,1
144,117007,952,117959,0.911663,1
146,115424,992,116416,0.912791,2
147,155446,1394,156840,0.884827,1
150,176735,1380,178115,0.870401,3
151,112258,1090,113348,0.915051,1
152,101604,965,102569,0.922710,1
153,97504,991,98495,0.925679,1
