count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784630781720729714,354474,177920,0.869608
51,1784630781721094491,289422,127094,0.904521
52,1784630781721392562,384133,175328,0.871345
53,1784630781721785730,342571,168305,0.876077
54,1784630781722137665,354282,155305,0.884923
55,1784630781722501964,389281,214352,0.845651
56,1784630781722900265,418883,218218,0.843160
57,1784630781723328555,343253,195462,0.857964
58,1784630781723681115,387734,192571,0.859869
59,1784630781724077859,473781,268097,0.811867
60,1784630781724560467,555663,254740,0.820094
61,1784630781725125378,513899,247997,0.824290
62,1784630781725648643,352479,227597,0.837156
63,1784630781726008712,369767,157459,0.883449
64,1784630781726387589,420852,204695,0.851917
65,1784630781726817977,408580,189573,0.861850
66,1784630781727235892,333263,175055,0.871529
67,1784630781727579199,394217,149353,0.889012
68,1784630781727982548,350088,168926,0.875657
69,1784630781728340200,466717,191979,0.860259
70,1784630781728814215,375036,188456,0.862590
71,1784630781729199579,511472,230490,0.835316
72,1784630781729724596,625456,251939,0.821834
73,1784630781730360988,559010,399974,0.736270
74,1784630781730929501,328130,182899,0.866282
75,1784630781731266091,367313,153763,0.885980
76,1784630781731642775,455402,293301,0.796638
77,1784630781732107595,645177,409766,0.731044
78,1784630781732761934,442945,217290,0.843757
79,1784630781733214405,604394,343999,0.767144
80,1784630781733828223,438617,258696,0.817646
81,1784630781734276101,326951,142937,0.893447
82,1784630781734612366,365702,166737,0.877138
83,1784630781734995936,338696,121656,0.908362
84,1784630781735344074,385656,184805,0.865013
85,1784630781735739387,474338,228041,0.836873
86,1784630781736223213,502084,362038,0.757005
87,1784630781736734790,374694,184156,0.865445
88,1784630781737118934,565551,276208,0.806924
89,1784630781737693888,409574,245595,0.825791
90,1784630781738114011,471992,222989,0.840099
91,1784630781738596369,402019,197468,0.856645
92,1784630781739007744,540125,374724,0.749983
93,1784630781739558637,476177,215435,0.844953
94,1784630781740044828,473242,227205,0.837406
95,1784630781740526958,391468,237731,0.830732
96,1784630781740927304,356024,189719,0.861753
97,1784630781741291651,329320,159957,0.881744
98,1784630781741630092,530569,343045,0.767685
99,1784630781742170001,412212,208743,0.849283
100,1784630781742592247,402116,205858,0.851159
101,1784630781743003519,411615,201472,0.854021
102,1784630781743424424,486309,222969,0.840112
103,1784630781743924819,457365,242048,0.828015
104,1784630781744392829,371493,191305,0.860705
105,1784630781744774265,1293294,346328,0.765824
106,1784630781746077516,449740,269876,0.810779
107,1784630781746535874,343696,156690,0.883975
108,1784630781746889049,528431,361955,0.757051
109,1784630781747426896,432487,254849,0.820027
110,1784630781747868661,535158,285431,0.801352
111,1784630781748413096,389293,218623,0.842900
112,1784630781748811777,467529,221612,0.840981
113,1784630781749290193,432571,220895,0.841441
114,1784630781749732241,464302,219447,0.842370
115,1784630781750210064,465532,229844,0.835726
116,1784630781750685721,465359,199689,0.855188
117,1784630781751160446,495110,275899,0.807112
118,1784630781751664781,473002,254646,0.820153
119,1784630781752146951,359817,171246,0.874091
120,1784630781752516927,387576,174694,0.871771
121,1784630781752915084,364241,198531,0.855947
122,1784630781753289070,356110,181601,0.867147
123,1784630781753654316,493762,284702,0.801791
124,1784630781754157297,332793,216088,0.844532
125,1784630781754498886,503684,268991,0.811320
126,1784630781755013391,422057,220333,0.841801
127,1784630781755446890,465567,186410,0.863947
128,1784630781755921751,468610,263327,0.814792
129,1784630781756399697,361823,179162,0.868776
130,1784630781756772331,411396,171160,0.874149
131,1784630781757195059,309900,160561,0.881333
132,1784630781757514732,362163,159094,0.882333
133,1784630781757886098,392610,222680,0.840297
134,1784630781758287996,351544,234032,0.833069
135,1784630781758648683,418376,209265,0.848944
136,1784630781759078655,525537,276146,0.806962
137,1784630781759616406,543624,299305,0.793067
138,1784630781760170220,595333,373376,0.750725
139,1784630781760776405,615604,312350,0.785380
140,1784630781761411513,395469,178152,0.869452
141,1784630781761816838,559031,352580,0.762298
142,1784630781762386964,451493,238604,0.830181
143,1784630781762853073,547633,317370,0.782449
144,1784630781763410655,557074,409554,0.731157
145,1784630781763977715,505288,271456,0.809815
146,1784630781764492867,594596,405187,0.733482
147,1784630781765096634,586006,355376,0.760728
148,1784630781765692174,498687,276874,0.806520
149,1784630781766200299,669628,416267,0.727603
150,1784630781766879304,494382,238065,0.830521
151,1784630781767385133,414100,162168,0.880239
152,1784630781767809569,562869,370699,0.752201
153,1784630781768381727,467428,171411,0.873980
154,1784630781768858591,845486,672796,0.608224
155,1784630781769712978,510708,201844,0.853778
156,1784630781770230871,533986,301719,0.791637
157,1784630781770774637,442901,291584,0.797663
158,1784630781771227164,432156,239797,0.829430
159,1784630781771669272,291087,166780,0.877109
160,1784630781771967311,645259,270960,0.810118
161,1784630781772625545,504662,386274,0.743667
162,1784630781773138398,541135,220960,0.841399
163,1784630781773684802,299944,177953,0.869585
164,1784630781773990407,282667,151873,0.887278
165,1784630781774278153,364801,130920,0.901830
166,1784630781774648746,295505,143423,0.893110
167,1784630781774952830,277725,119527,0.909872
168,1784630781775239456,256251,139963,0.895512
169,1784630781775501312,236483,129223,0.903022
170,1784630781775743639,224058,127021,0.904572
171,1784630781775973471,348711,144748,0.892192
172,1784630781776332075,365477,211665,0.847389
173,1784630781776706393,310659,174321,0.872022
174,1784630781777026466,328234,222735,0.840262
175,1784630781777363290,389105,182031,0.866860
176,1784630781777761630,431521,189341,0.862003
177,1784630781778202723,400481,203992,0.852375
178,1784630781778613241,410285,185451,0.864584
179,1784630781779034851,518728,303544,0.790558
180,1784630781779563300,388882,231786,0.834493
181,1784630781779961139,482872,256960,0.818719
182,1784630781780454879,330758,150739,0.888058
183,1784630781780794668,392105,203346,0.852797
184,1784630781781195796,479009,291871,0.797492
185,1784630781781683847,479236,235346,0.832238
186,1784630781782172628,510576,216668,0.844158
187,1784630781782693796,519825,289174,0.799106
188,1784630781783223516,531096,293801,0.796340
189,1784630781783764015,610838,350622,0.763400
190,1784630781784384428,459543,301961,0.791494
191,1784630781784854437,309418,189369,0.861985
192,1784630781785173142,418999,172553,0.873211
193,1784630781785601486,417643,188956,0.862258
194,1784630781786028487,368353,247370,0.824681
195,1784630781786405502,353888,198283,0.856110
196,1784630781786768500,485811,314937,0.783868
197,1784630781787263211,390165,194547,0.858566
198,1784630781787662459,443204,222945,0.840127
199,1784630781788116784,522819,303378,0.790656
200,1784630781788648968,359418,212798,0.846656
201,1784630781789017604,592773,314187,0.784306
202,1784630781789619094,411535,215136,0.845145
203,1784630781790040317,471279,311106,0.786109
204,1784630781790519869,367183,210662,0.848038
205,1784630781790896192,326969,196425,0.857330
206,1784630781791231550,318048,169174,0.875490
207,1784630781791556643,290733,157242,0.883598
208,1784630781791854349,371191,223348,0.839869
209,1784630781792234135,260209,146546,0.890949
210,1784630781792500649,332163,190442,0.861275
211,1784630781792840841,314872,157401,0.883489
212,1784630781793163701,383854,229722,0.835804
213,1784630781793556164,335872,212720,0.846706
214,1784630781793899163,349623,141799,0.894237
215,1784630781794255845,381605,212373,0.846930
216,1784630781794644958,326448,183869,0.865636
217,1784630781794978798,445337,346109,0.765948
218,1784630781795431091,1027448,649241,0.617954
219,1784630781796467730,1075730,601863,0.638232
220,1784630781797554192,874253,557002,0.658339
221,1784630781798438866,784059,598851,0.639554
222,1784630781799231715,726623,427567,0.721675
223,1784630781799970126,918308,500332,0.685063
224,1784630781800908033,480688,289378,0.798983
225,1784630781801404099,471139,235009,0.832451
226,1784630781801886588,715378,391991,0.740568
227,1784630781802612875,778065,429515,0.720660
228,1784630781803398962,468969,293951,0.796250
229,1784630781803873526,407652,239622,0.829540
230,1784630781804289289,614124,373322,0.750755
231,1784630781804913843,377109,197434,0.856667
232,1784630781805300233,490787,312711,0.785169
233,1784630781805800261,427630,262293,0.815428
234,1784630781806237120,768645,477439,0.696296
235,1784630781807015079,770376,398664,0.736973
236,1784630781807794899,689143,420976,0.725125
237,1784630781808495467,677905,271822,0.809592
238,1784630781809185681,710649,407382,0.732312
239,1784630781809906433,761323,502722,0.683906
240,1784630781810679224,391507,199370,0.855397
241,1784630781811081344,470068,273427,0.808614
242,1784630781811563169,445765,248374,0.824055
